Report_No,Involvement,Race,Sex,Age,Firearm Used Flag  
20003319,VIC,U,U,,N
40024161,SUS,B,M,26,N
40024161,VIC,B,M,15,N
60077156,ARR,B,M,44,N
60203221,VIC,,,,N
80039945,SUS,U,U,,N
90051988,SUS,W,M,37,N
90051988,VIC,W,F,13,N
90055454,ARR,W,M,33,N
90059622,ARR,W,M,56,N
90069538,SUS,B,M,43,N
90069538,VIC,B,M,70,N
90082184,ARR,B,M,32,N
100002612,ARR,W,M,32,N
100003785,SUS,U,U,,N
100003785,VIC,B,F,43,N
100015532,ARR,W,F,46,N
100019927,ARR,B,M,18,N
100019927,VIC,B,M,28,N
100037721,SUS,W,F,31,N
100037721,SUS,W,M,33,N
100037721,VIC,W,F,8,N
100043942,SUS,B,F,34,N
100043942,VIC,B,M,8,N
100043942,VIC,B,M,9,N
100046020,VIC,,,,N
100046514,SUS,W,F,15,N
100046514,VIC,,,,N
100050294,ARR,B,F,27,Y
100056476,SUS,W,M,29,N
100056476,VIC,W,F,5,N
100056756,SUS,W,M,24,N
100056756,VIC,W,F,9,N
100057708,SUS,B,M,,N
100057708,VIC,B,F,16,N
100062707,SUS,W,M,42,N
100062707,VIC,W,F,15,N
100065070,ARR,B,F,45,N
100065070,VIC,,,,N
100065070,VIC,,,,N
100068917,SUS,W,M,32,N
100068917,VIC,W,F,38,N
100068952,VIC,B,F,22,N
100069328,VIC,,,,N
100072203,SUS,U,U,,N
100072203,VIC,W,M,58,N
100073822,ARR,B,M,37,N
100073875,ARR,B,M,26,N
100073875,VIC,B,F,25,N
100074219,VIC,W,F,1,N
100074561,SUS,W,M,28,N
100074561,SUS,W,M,52,N
100074561,VIC,W,F,7,N
100074710,ARR,B,M,26,N
100075278,VIC,,,,N
100075278,VIC,,,,N
100077518,ARR,B,M,39,N
100079885,VIC,B,F,18,N
100082977,SUS,W,M,33,N
100082977,VIC,W,F,17,N
100082977,VIC,W,F,13,N
100082977,SUS,W,M,33,N
100082977,VIC,W,F,17,N
100082977,VIC,W,F,13,N
100082977,SUS,W,M,33,N
100082977,VIC,W,F,17,N
100082977,VIC,W,F,13,N
100084516,VIC,B,M,22,N
100085301,SUS,W,M,28,N
100085301,VIC,W,F,7,N
100085301,VIC,W,F,13,N
100085368,VIC,,,,N
100086927,ARR,B,F,18,N
100087424,ARR,W,M,30,N
100087424,VIC,W,F,25,N
100087885,SUS,B,M,20,N
100087885,VIC,B,F,14,N
100088317,VIC,W,M,26,N
100088980,ARR,B,M,17,N
100089388,SUS,W,M,,N
100089388,VIC,B,F,9,N
100089760,SUS,B,M,29,N
100089760,VIC,B,F,10,N
100090503,VIC,W,F,34,N
100091252,SUS,B,M,27,N
100091252,VIC,B,F,6,N
100091450,SUS,U,U,,N
100091450,VIC,W,F,39,N
100091948,SUS,W,M,23,N
100091948,VIC,W,F,22,N
100092060,SUS,W,M,24,N
100092060,VIC,W,F,14,N
100093126,SUS,B,M,14,N
100093126,VIC,B,F,11,N
100093163,ARR,W,M,53,N
100093163,VIC,W,M,40,N
100094079,ARR,B,M,25,N
100095112,SUS,W,M,28,N
100095112,VIC,W,F,2,N
100096490,SUS,B,M,57,N
100096490,VIC,B,F,8,N
100097450,SUS,B,M,25,N
100097450,VIC,,,,N
100097742,ARR,W,M,37,N
100097742,VIC,W,M,55,N
100098260,SUS,W,M,,N
100098260,VIC,,,,N
100098866,SUS,B,M,19,N
100099288,ARR,B,M,27,N
100099292,SUS,U,U,,Y
100099292,VIC,B,M,26,Y
100100175,SUS,U,U,,N
100100175,VIC,W,F,46,N
100100819,VIC,,,,N
110000003,SUS,U,U,,N
110000003,VIC,W,F,22,N
110000004,ARR,W,M,25,N
110000004,VIC,,,,N
110000007,SUS,U,U,,N
110000007,VIC,W,M,42,N
110000007,VIC,W,F,38,N
110000009,SUS,U,U,,N
110000009,VIC,W,F,52,N
110000010,ARR,W,M,29,N
110000010,VIC,W,M,29,N
110000011,SUS,U,U,,N
110000011,VIC,W,F,47,N
110000012,SUS,U,U,,N
110000012,VIC,,,,N
110000015,ARR,B,M,30,N
110000015,VIC,,,,N
110000015,ARR,B,M,30,N
110000015,VIC,,,,N
110000016,ARR,W,F,23,N
110000016,VIC,,,,N
110000018,ARR,B,M,37,Y
110000018,VIC,,,,Y
